"tournament_name","winner","time","player","atp","score","odds","aces","df","fspp","fsp","ssp","bps","mpr","frp","srp","bpc","spw","rpw","tpw","mgr","sgw","rgw","tgw","tournament_court"
"Acapulco (Mexico), clay - Final","0","28.02.2016 05:55","Tomic B.",19,1,"2.5",8,4,0.64,7,3,43,34,34,11,46,3,35,19,23,51,12,35,"clay "
"Acapulco (Mexico), clay - Final","0","01.03.2015 05:10","Nishikori K.",7,0,"1.44",1,2,0.54,5,2,22,30,15,38,26,34,19,37,22,17,28,25,"clay "
"Acapulco (Mexico), clay - Final","0","02.03.2014 06:15","Anderson K.",25,1,"2.75",13,7,0.69,6,3,43,41,37,25,20,30,39,22,26,65,6,42,"clay "
"Acapulco (Mexico), clay - Quarter-finals","0","26.02.2016 00:10","Marchenko I.",65,0,"3.4",5,2,0.58,8,3,42,31,5,25,29,38,31,28,24,30,18,29,"clay "
"Acapulco (Mexico), clay - Quarter-finals","1","26.02.2016 01:55","Dolgopolov A.",58,2,"1.36",9,0,0.61,6,3,50,57,1,29,47,24,47,37,34,60,37,54,"clay "
"Acapulco (Mexico), clay - Quarter-finals","0","26.02.2016 04:10","Dimitrov G.",24,0,"1.5",2,2,0.69,7,3,25,46,31,27,24,38,27,24,22,32,2,22,"clay "
"Acapulco (Mexico), clay - Quarter-finals","0","26.02.2016 06:10","Fritz T.",54,1,"2.2",8,4,0.57,5,5,50,46,12,14,35,50,42,21,26,57,7,37,"clay "
"Acapulco (Mexico), clay - Quarter-finals","1","26.02.2015 23:10","Anderson K.",25,2,"1.57",6,3,0.6,7,3,56,46,1,25,32,24,46,31,31,63,14,43,"clay "
"Acapulco (Mexico), clay - Quarter-finals","1","27.02.2015 01:15","Nishikori K.",7,2,"1.25",2,1,0.65,8,3,34,67,50,32,36,21,41,36,31,61,23,47,"clay "
"Acapulco (Mexico), clay - Quarter-finals","0","27.02.2015 05:50","Karlovic I.",23,1,"1.44",16,5,0.65,8,3,54,39,2,13,18,38,44,15,25,2,49,40,"clay "
"Acapulco (Mexico), clay - Quarter-finals","0","27.02.2015 08:30","Tomic B.",19,1,"3.5",8,3,0.62,5,3,48,28,23,17,11,24,35,17,22,48,62,29,"clay "
"Acapulco (Mexico), clay - Semi-finals","0","27.02.2016 02:10","Dolgopolov A.",58,1,"1.57",12,4,0.51,6,4,50,25,41,21,43,43,30,33,27,40,24,37,"clay "
"Acapulco (Mexico), clay - Semi-finals","1","27.02.2016 06:05","Thiem D.",10,2,"1.66",4,2,0.73,7,5,54,63,1,36,39,50,53,37,38,2,42,60,"clay "
"Acapulco (Mexico), clay - Semi-finals","1","28.02.2015 02:10","Nishikori K.",7,2,"1.22",6,1,0.55,10,4,47,52,31,21,40,24,43,31,31,56,24,45,"clay "
"Acapulco (Mexico), clay - Semi-finals","0","28.02.2015 06:15","Harrison R.",118,1,"5",4,2,0.56,4,2,22,34,25,10,25,11,21,21,16,21,67,15,"clay "
"Acapulco (Mexico), clay - Semi-finals","1","01.03.2014 02:10","Anderson K.",25,2,"2.75",19,2,0.65,6,3,57,53,1,27,34,14,51,29,33,64,14,48,"clay "
"Acapulco (Mexico), clay - Semi-finals","1","01.03.2014 07:35","Dimitrov G.",24,2,"2.75",5,2,0.69,6,3,51,38,23,14,36,20,43,21,27,53,5,34,"clay "
"Atlanta (USA), hard - Final","0","07.08.2016 20:00","Isner J.",22,0,"1.9",18,6,0.56,5,1,62,29,2,11,10,1,41,16,24,2,1,37,"hard "
"Atlanta (USA), hard - Final","1","02.08.2015 22:15","Isner J.",22,2,"1.36",13,0,0.72,7,3,67,72,1,26,39,55,63,35,40,2,26,54,"hard "
"Atlanta (USA), hard - Final","1","27.07.2014 23:10","Isner J.",22,2,"1.25",15,2,0.57,5,3,56,46,2,14,32,3,45,27,32,2,15,50,"hard "
"Atlanta (USA), hard - Quarter-finals","0","05.08.2016 19:10","Zeballos H.",70,0,"2.2",6,1,0.59,4,1,47,38,12,6,53,1,37,5,18,51,1,27,"hard "
"Atlanta (USA), hard - Quarter-finals","0","05.08.2016 22:10","Verdasco F.",47,1,"3.4",9,7,0.68,5,1,47,45,23,11,11,1,42,15,23,58,1,29,"hard "
"Atlanta (USA), hard - Quarter-finals","1","06.08.2016 00:30","Opelka R.",295,2,"3.25",10,3,0.61,5,3,51,54,2,14,18,38,47,27,32,2,13,47,"hard "
"Atlanta (USA), hard - Quarter-finals","1","06.08.2016 03:10","Isner J.",22,2,"1.11",20,2,0.66,8,3,57,43,23,32,18,28,48,31,32,62,20,46,"hard "
"Atlanta (USA), hard - Quarter-finals","1","31.07.2015 21:10","Kudla D.",128,2,"1.57",6,3,0.6,9,8,47,37,1,43,45,41,38,45,35,49,54,58,"hard "
"Atlanta (USA), hard - Quarter-finals","1","31.07.2015 22:35","Isner J.",22,2,"1.25",19,2,0.69,6,3,55,60,2,7,18,3,53,15,29,2,67,42,"hard "
"Atlanta (USA), hard - Quarter-finals","1","01.08.2015 03:05","Muller G.",37,2,"1.18",16,2,0.54,8,5,2,51,2,24,38,24,55,36,39,2,26,55,"hard "
"Atlanta (USA), hard - Quarter-finals","1","01.08.2015 03:05","Baghdatis M.",44,2,"1.72",6,1,0.59,5,4,46,48,45,11,32,13,41,27,28,62,11,42,"hard "
"Atlanta (USA), hard - Semi-finals","0","06.08.2016 22:10","Nishioka Y.",86,1,"8",7,3,0.52,5,3,36,60,48,8,25,16,40,17,24,56,56,31,"hard "
"Atlanta (USA), hard - Semi-finals","1","07.08.2016 02:10","Isner J.",22,2,"1.08",22,5,0.65,6,5,63,57,1,20,26,33,56,25,32,2,13,47,"hard "
"Atlanta (USA), hard - Semi-finals","1","01.08.2015 23:10","Isner J.",22,2,"1.36",25,2,0.69,7,3,60,44,37,25,20,24,51,26,31,64,13,44,"hard "
"Atlanta (USA), hard - Semi-finals","0","02.08.2015 03:10","Muller G.",37,1,"1.66",15,8,0.6,6,3,49,40,23,20,23,38,40,22,26,52,5,32,"hard "
"Atlanta (USA), hard - Semi-finals","1","26.07.2014 22:10","Isner J.",22,2,"1.44",8,4,0.53,5,3,65,40,2,27,22,16,46,29,29,2,11,46,"hard "
"Atlanta (USA), hard - Semi-finals","1","27.07.2014 03:10","Sela D.",80,2,"2.1",3,4,0.56,6,3,44,44,41,19,43,21,38,32,29,57,16,43,"hard "
"Auckland (New Zealand), hard - Final","0","16.01.2016 03:45","Sock J.",28,0,"1.61",0,3,0.4,4,1,21,23,8,66,26,1,13,16,10,9,1,4,"hard "
"Auckland (New Zealand), hard - Final","0","17.01.2015 03:40","Mannarino A.",55,0,"2",1,4,0.58,4,2,32,25,18,16,22,24,23,21,17,24,4,17,"hard "
"Auckland (New Zealand), hard - Final","0","11.01.2014 03:40","Lu Y.H.",72,0,"2.75",5,1,0.67,7,1,44,51,2,7,22,1,42,15,24,2,1,37,"hard "
"Auckland (New Zealand), hard - Quarter-finals","0","14.01.2016 01:25","Anderson K.",25,1,"2",14,5,0.59,5,5,54,42,23,11,24,16,43,21,27,57,8,39,"hard "
"Auckland (New Zealand), hard - Quarter-finals","1","14.01.2016 03:25","Ferrer D.",13,2,"1.16",5,1,0.64,8,3,41,66,2,16,50,55,45,31,33,2,23,50,"hard "
"Auckland (New Zealand), hard - Quarter-finals","1","14.01.2016 05:00","Bautista-Agut R.",17,2,"2.2",4,5,0.61,8,5,50,29,23,19,36,38,35,25,26,51,14,39,"hard "
"Auckland (New Zealand), hard - Quarter-finals","0","14.01.2016 07:45","Fognini F.",38,0,"3.4",3,1,0.65,5,1,40,47,53,9,26,1,38,19,23,63,1,33,"hard "
"Auckland (New Zealand), hard - Quarter-finals","1","15.01.2015 01:20","Mannarino A.",55,2,"1.25",4,5,0.59,8,7,52,40,37,43,63,38,41,51,40,59,52,60,"hard "
"Auckland (New Zealand), hard - Quarter-finals","1","15.01.2015 02:35","Pouille L.",26,2,"2.1",5,0,0.64,8,3,42,65,2,29,37,55,46,37,38,2,30,57,"hard "
"Auckland (New Zealand), hard - Quarter-finals","0","15.01.2015 04:00","Young D.",57,0,"2.2",2,5,0.57,5,1,36,29,27,12,16,1,27,15,17,28,1,17,"hard "
"Auckland (New Zealand), hard - Quarter-finals","0","15.01.2015 07:45","Johnson S.",21,0,"2.37",10,2,0.67,5,2,41,43,48,4,19,38,37,12,23,53,67,32,"hard "
"Auckland (New Zealand), hard - Semi-finals","0","15.01.2016 06:10","Ferrer D.",13,1,"1.44",3,2,0.67,6,3,41,45,12,11,32,24,38,22,23,38,62,25,"hard "
"Auckland (New Zealand), hard - Semi-finals","1","15.01.2016 07:50","Bautista-Agut R.",17,2,"3",3,5,0.6,5,3,46,42,28,13,43,16,39,26,27,52,6,35,"hard "
"Auckland (New Zealand), hard - Semi-finals","0","16.01.2015 06:10","Pouille L.",26,1,"3.5",11,4,0.61,5,3,38,50,8,15,27,50,37,22,25,52,6,35,"hard "
"Auckland (New Zealand), hard - Semi-finals","0","16.01.2015 08:25","Anderson K.",25,0,"1.57",10,1,0.61,5,1,44,52,1,9,17,3,41,14,23,53,67,32,"hard "
"Auckland (New Zealand), hard - Semi-finals","1","10.01.2014 05:20","Isner J.",22,2,"1.44",17,2,0.66,6,3,52,42,12,28,22,20,44,25,28,58,6,35,"hard "
"Auckland (New Zealand), hard - Semi-finals","0","10.01.2014 07:30","Ferrer D.",13,0,"1.16",3,0,0.71,8,3,37,45,43,17,29,30,36,28,27,44,11,32,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","24.01.2016 02:20","Tsonga J-W.",11,0,"2.1",13,8,0.6,9,3,34,37,29,19,20,38,30,22,21,36,56,23,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","24.01.2016 06:05","Djokovic N.",1,3,"1.01",9,1,0.62,8,4,41,45,48,25,51,14,37,34,30,56,18,43,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","24.01.2016 07:45","Bautista-Agut R.",17,2,"4",6,0,0.67,8,3,36,52,52,20,39,34,37,27,28,53,10,36,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","24.01.2016 13:45","Federer R.",4,3,"1.04",7,1,0.63,7,7,57,54,1,29,58,36,51,39,38,63,42,58,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","25.01.2016 03:55","Kuznetsov An.",42,1,"4",0,6,0.59,4,3,45,37,28,12,21,3,36,18,23,57,2,35,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","25.01.2016 05:55","Raonic M.",6,3,"2.37",24,6,0.68,7,4,50,38,34,22,29,24,42,29,29,59,13,41,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","25.01.2016 09:45","Ferrer D.",13,3,"1.5",1,2,0.52,12,3,53,64,2,21,39,38,51,29,34,2,12,46,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","25.01.2016 10:35","Tomic B.",19,0,"8",10,2,0.65,5,2,33,23,25,20,33,34,25,26,21,35,18,31,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","25.01.2015 06:10","Berdych T.",8,3,"1.3",17,4,0.52,5,5,56,50,2,21,55,22,46,33,32,2,22,51,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","25.01.2015 06:15","Anderson K.",25,0,"3.5",8,3,0.73,7,1,39,55,12,15,17,1,40,18,22,42,1,21,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","25.01.2015 09:30","Kyrgios N.",16,3,"1.72",25,7,0.62,7,5,46,42,45,19,34,24,39,26,27,61,4,38,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","25.01.2015 11:50","Murray A.",2,3,"1.28",10,4,0.67,7,5,48,30,23,27,54,27,38,35,30,53,26,45,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","26.01.2015 04:30","Wawrinka S.",3,3,"1.07",15,3,0.63,6,3,47,41,27,22,35,22,40,29,29,53,11,37,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","26.01.2015 07:15","Ferrer D.",13,0,"3",2,5,0.65,4,1,27,32,36,21,28,8,24,26,20,29,62,20,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","26.01.2015 08:15","Lopez F.",18,2,"5.5",21,5,0.63,6,3,44,42,47,14,24,24,38,18,24,59,32,31,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","26.01.2015 12:50","Djokovic N.",1,3,"1.02",13,4,0.71,6,3,53,57,2,20,42,18,50,27,32,2,11,46,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","19.01.2014 05:15","Mayer F.",59,1,"4",4,3,0.61,5,3,27,34,24,21,34,18,25,25,21,27,9,23,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","19.01.2014 06:40","Fognini F.",38,0,"26",3,7,0.59,5,1,30,25,43,5,11,1,22,9,13,21,1,11,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","19.01.2014 08:15","Berdych T.",8,3,"1.1",4,3,0.52,7,5,60,52,1,31,51,20,49,36,35,2,35,58,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","19.01.2014 12:15","Wawrinka S.",3,3,"1.33",14,3,0.56,6,3,61,41,45,24,48,30,45,29,31,59,6,39,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","20.01.2014 04:15","Dimitrov G.",24,3,"1.53",11,3,0.6,5,3,56,37,50,28,28,58,42,27,30,65,15,45,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","20.01.2014 06:45","Nadal R.",5,3,"1.02",12,1,0.71,7,3,47,29,31,27,49,48,38,33,31,49,21,40,"hard "
"Australian Open (Australia), hard - 1/8-finals","1","20.01.2014 08:15","Murray A.",2,3,"1.01",8,3,0.62,11,9,47,42,53,27,39,38,40,38,34,65,34,56,"hard "
"Australian Open (Australia), hard - 1/8-finals","0","20.01.2014 11:05","Tsonga J-W.",11,0,"2.37",8,1,0.52,4,1,41,45,28,6,21,1,36,12,19,51,1,26,"hard "
"Australian Open (Australia), hard - Final","1","31.01.2016 10:40","Djokovic N.",1,3,"1.2",7,3,0.66,7,5,45,43,37,26,46,32,40,36,32,59,26,48,"hard "
"Australian Open (Australia), hard - Final","1","01.02.2015 10:40","Djokovic N.",1,3,"1.44",8,1,0.6,13,9,30,52,29,29,52,42,33,38,31,46,40,49,"hard "
"Australian Open (Australia), hard - Final","0","26.01.2014 10:45","Nadal R.",5,1,"1.14",1,3,0.78,6,3,31,32,37,6,37,24,29,21,20,42,4,27,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","26.01.2016 05:55","Federer R.",4,3,"1.16",9,3,0.69,8,3,54,38,37,26,36,38,45,33,32,58,26,47,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","26.01.2016 10:25","Djokovic N.",1,3,"1.12",6,2,0.57,9,4,36,56,45,36,42,41,38,41,34,57,39,54,"hard "
"Australian Open (Australia), hard - Quarter-finals","0","27.01.2016 06:00","Ferrer D.",13,1,"5",0,2,0.65,6,3,33,40,25,17,30,13,31,27,23,38,2,24,"hard "
"Australian Open (Australia), hard - Quarter-finals","0","27.01.2016 10:45","Monfils G.",12,1,"3.25",14,6,0.61,6,3,49,40,34,9,21,38,40,17,24,54,41,30,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","27.01.2015 05:25","Berdych T.",8,3,"2.5",10,0,0.66,8,9,53,37,2,30,36,38,43,37,35,2,30,56,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","27.01.2015 10:30","Murray A.",2,3,"1.12",13,1,0.69,6,3,51,57,23,29,34,24,49,32,33,65,14,47,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","28.01.2015 06:10","Wawrinka S.",3,3,"2.1",20,4,0.63,8,3,57,43,45,19,37,18,47,27,31,65,13,45,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","28.01.2015 10:35","Djokovic N.",1,3,"1.11",8,2,0.71,7,5,60,64,1,21,34,18,58,26,33,2,13,47,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","21.01.2014 06:20","Berdych T.",8,3,"1.57",10,4,0.52,6,3,49,34,45,30,41,28,34,36,31,53,26,46,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","21.01.2014 10:25","Wawrinka S.",3,3,"9",17,5,0.58,7,5,43,40,18,22,31,38,36,24,26,55,12,38,"hard "
"Australian Open (Australia), hard - Quarter-finals","1","22.01.2014 06:00","Nadal R.",5,3,"1.1",3,7,0.73,6,5,44,57,23,22,36,26,44,30,30,53,12,34,"hard "
"Australian Open (Australia), hard - Quarter-finals","0","22.01.2014 10:35","Murray A.",2,1,"2.2",9,1,0.61,4,2,38,39,46,15,29,38,33,19,22,50,41,27,"hard "
"Australian Open (Australia), hard - Semi-finals","1","28.01.2016 10:40","Djokovic N.",1,3,"1.3",10,1,0.67,8,5,48,56,45,33,42,42,46,36,35,65,24,51,"hard "
"Australian Open (Australia), hard - Semi-finals","0","29.01.2016 10:40","Raonic M.",6,2,"3.25",23,8,0.67,6,3,48,34,45,14,21,8,39,17,24,56,32,31,"hard "
"Australian Open (Australia), hard - Semi-finals","0","29.01.2015 10:40","Berdych T.",8,1,"2.2",5,6,0.59,6,2,38,40,15,18,35,24,33,24,23,39,41,23,"hard "
"Australian Open (Australia), hard - Semi-finals","1","30.01.2015 10:35","Djokovic N.",1,3,"1.22",5,3,0.64,7,6,41,48,14,30,35,31,39,33,30,49,22,40,"hard "
"Australian Open (Australia), hard - Semi-finals","0","23.01.2014 10:35","Berdych T.",8,1,"2.2",21,7,0.62,6,1,53,47,45,11,31,1,45,20,27,66,1,34,"hard "
"Australian Open (Australia), hard - Semi-finals","1","24.01.2014 10:50","Nadal R.",5,3,"1.57",3,1,0.65,6,4,44,63,23,29,40,20,46,32,32,64,20,47,"hard "
"Bangkok (Thailand), hard - Final","0","29.09.2013 11:20","Berdych T.",8,0,"1.53",4,0,0.74,4,1,54,54,1,45,34,1,51,10,22,61,1,30,"hard "
"Bangkok (Thailand), hard - Final","0","30.09.2012 11:15","Simon G.",32,0,"1.9",3,0,0.58,3,1,17,25,14,13,26,3,15,17,11,11,6,9,"hard "
"Bangkok (Thailand), hard - Semi-finals","1","28.09.2013 09:10","Berdych T.",8,2,"1.4",18,3,0.6,9,3,47,33,49,27,56,28,36,38,31,52,30,46,"hard "
"Bangkok (Thailand), hard - Semi-finals","1","28.09.2013 12:25","Raonic M.",6,2,"2",23,1,0.64,11,3,52,33,37,14,11,50,40,14,25,64,6,39,"hard "
"Bangkok (Thailand), hard - Semi-finals","0","29.09.2012 09:10","Tipsarevic J.",254,0,"1.4",7,2,0.6,4,1,48,28,50,9,18,1,34,13,21,51,1,27,"hard "
"Bangkok (Thailand), hard - Semi-finals","0","29.09.2012 11:20","Nieminen J.",1031,1,"3.4",3,3,0.71,6,5,34,33,23,26,23,38,30,26,23,32,14,28,"hard "
"Barcelona (Spain), clay - Final","1","24.04.2016 18:45","Nadal R.",5,2,"1.36",1,1,0.74,5,4,31,40,47,39,45,32,30,39,29,44,38,46,"clay "
"Barcelona (Spain), clay - Final","1","26.04.2015 18:40","Nishikori K.",7,2,"1.16",1,3,0.55,6,4,41,40,23,30,58,50,34,39,31,51,33,47,"clay "
"Barcelona (Spain), clay - Final","0","27.04.2014 17:20","Giraldo S.",132,0,"4.33",2,5,0.47,4,2,39,15,10,18,37,38,18,28,18,16,6,14,"clay "
"Barcelona (Spain), clay - Quarter-finals","1","22.04.2016 13:40","Paire B.",34,2,"1.16",6,6,0.55,4,5,54,22,34,32,41,32,33,37,29,50,28,44,"clay "
"Barcelona (Spain), clay - Quarter-finals","0","22.04.2016 16:05","Dolgopolov A.",58,0,"5.5",2,3,0.55,4,1,34,31,35,12,38,1,26,21,19,28,1,16,"clay "
"Barcelona (Spain), clay - Quarter-finals","1","22.04.2016 17:55","Nadal R.",5,2,"1.12",2,0,0.8,6,4,36,36,1,37,56,22,35,44,32,41,42,47,"clay "
"Barcelona (Spain), clay - Quarter-finals","0","22.04.2016 20:10","Kuznetsov An.",42,0,"2.62",1,1,0.57,4,1,34,19,23,21,43,1,21,27,18,24,1,14,"clay "
"Barcelona (Spain), clay - Quarter-finals","1","24.04.2015 13:40","Nishikori K.",7,2,"1.25",5,0,0.57,13,5,51,59,23,33,41,26,48,40,37,63,26,50,"clay "
"Barcelona (Spain), clay - Quarter-finals","1","24.04.2015 15:50","Klizan M.",30,2,"2.75",3,5,0.61,6,3,60,33,2,16,30,24,44,20,28,2,67,42,"clay "
"Barcelona (Spain), clay - Quarter-finals","0","24.04.2015 17:45","Kohlschreiber P.",27,0,"5",0,0,0.53,4,2,16,42,23,42,24,34,21,34,22,24,28,30,"clay "
"Barcelona (Spain), clay - Quarter-finals","1","24.04.2015 19:50","Andujar-Alba P.",650,2,"2.37",1,0,0.63,6,5,44,46,37,48,41,53,40,47,37,59,52,60,"clay "
"Barcelona (Spain), clay - Semi-finals","0","23.04.2016 14:45","Paire B.",34,0,"5",3,5,0.43,4,1,38,24,19,19,37,24,21,24,18,20,6,17,"clay "
"Barcelona (Spain), clay - Semi-finals","1","23.04.2016 17:10","Nadal R.",5,2,"1.11",2,0,0.65,7,4,53,51,2,38,31,28,48,37,34,2,26,54,"clay "
"Barcelona (Spain), clay - Semi-finals","1","25.04.2015 14:40","Nishikori K.",7,2,"1.2",2,3,0.54,11,5,50,48,2,42,37,30,42,46,38,2,47,66,"clay "
"Barcelona (Spain), clay - Semi-finals","0","25.04.2015 17:10","Ferrer D.",13,0,"1.12",2,3,0.67,7,3,35,40,28,29,32,38,33,29,24,41,11,30,"clay "
"Barcelona (Spain), clay - Semi-finals","1","26.04.2014 14:40","Nishikori K.",7,2,"1.61",1,3,0.62,10,5,52,53,1,30,41,21,47,36,34,2,26,54,"clay "
"Barcelona (Spain), clay - Semi-finals","0","26.04.2014 17:15","Almagro N.",46,0,"1.2",5,4,0.66,7,2,39,43,15,16,45,6,36,24,22,41,67,25,"clay "
"Basel (Switzerland), hard - Final","1","01.11.2015 15:45","Federer R.",4,2,"1.33",12,2,0.68,9,3,46,49,37,28,21,33,43,28,30,64,13,44,"hard "
"Basel (Switzerland), hard - Final","1","26.10.2014 15:40","Federer R.",4,2,"1.2",5,1,0.59,7,5,53,81,1,15,51,50,59,41,42,2,42,60,"hard "
"Basel (Switzerland), hard - Final","1","27.10.2013 15:40","Del Potro J.",142,2,"1.61",8,4,0.59,5,2,49,39,23,18,33,24,39,28,27,51,6,34,"hard "
"Basel (Switzerland), hard - Quarter-finals","1","30.10.2015 15:10","Gasquet R.",15,2,"1.53",6,1,0.73,5,3,48,71,2,13,23,16,51,19,29,2,49,40,"hard "
"Basel (Switzerland), hard - Quarter-finals","0","30.10.2015 17:55","Young D.",57,1,"4",4,2,0.5,7,3,38,33,25,13,44,30,28,29,23,32,20,30,"hard "
"Basel (Switzerland), hard - Quarter-finals","0","30.10.2015 20:15","Cilic M.",9,1,"2.1",9,7,0.61,6,5,40,38,35,21,32,24,34,28,25,42,7,30,"hard "
"Basel (Switzerland), hard - Quarter-finals","1","30.10.2015 22:55","Federer R.",4,2,"1.1",7,4,0.52,7,3,50,39,23,31,40,38,38,36,32,56,26,47,"hard "
"Basel (Switzerland), hard - Semi-finals","1","31.10.2015 15:45","Nadal R.",5,2,"1.36",2,3,0.73,9,4,43,40,45,27,36,28,39,32,30,53,20,42,"hard "
"Basel (Switzerland), hard - Semi-finals","1","31.10.2015 18:15","Federer R.",4,2,"1.08",5,1,0.7,7,5,58,31,23,29,38,38,46,33,34,61,26,50,"hard "
"Basel (Switzerland), hard - Semi-finals","1","25.10.2014 15:40","Goffin D.",14,2,"1.22",10,6,0.46,5,3,53,48,37,18,26,20,42,27,28,64,7,41,"hard "
"Basel (Switzerland), hard - Semi-finals","1","25.10.2014 18:20","Federer R.",4,2,"1.08",7,3,0.64,12,3,56,61,23,9,38,16,53,16,29,64,56,37,"hard "
"Basel (Switzerland), hard - Semi-finals","1","26.10.2013 15:40","Del Potro J.",142,2,"1.05",7,4,0.56,8,4,50,37,15,28,41,42,38,39,32,50,28,44,"hard "
"Basel (Switzerland), hard - Semi-finals","1","26.10.2013 18:15","Federer R.",4,2,"1.14",4,1,0.56,11,3,44,45,23,19,42,35,38,35,31,59,22,45,"hard "
"Bastad (Sweden), clay - Final","1","17.07.2016 15:10","Ramos A.",33,2,"2.75",2,2,0.66,5,4,38,35,31,39,54,42,32,41,31,49,42,50,"clay "
"Bastad (Sweden), clay - Final","1","26.07.2015 15:10","Paire B.",34,2,"2.62",5,3,0.61,6,3,53,51,2,27,34,11,47,28,30,2,2,44,"clay "
"Bastad (Sweden), clay - Final","0","13.07.2014 19:50","Sousa J.",36,0,"2.3",0,2,0.49,4,1,18,12,10,14,26,3,7,18,7,11,6,9,"clay "
"Bastad (Sweden), clay - Quarter-finals","1","15.07.2016 12:10","Ramos A.",33,2,"1.11",2,4,0.69,8,8,30,42,26,35,35,39,30,43,30,38,43,47,"clay "
"Bastad (Sweden), clay - Quarter-finals","1","15.07.2016 14:55","Verdasco F.",47,2,"1.18",0,4,0.72,7,4,49,33,2,51,32,32,41,48,38,2,52,66,"clay "
"Bastad (Sweden), clay - Quarter-finals","1","15.07.2016 16:30","Ferrer D.",13,2,"1.2",1,5,0.65,8,5,47,42,31,14,43,22,40,27,29,57,24,46,"clay "
"Bastad (Sweden), clay - Quarter-finals","1","15.07.2016 18:25","Elias G.",61,2,"2.5",4,1,0.73,6,6,40,44,45,22,50,53,38,45,36,59,52,60,"clay "
"Bastad (Sweden), clay - Quarter-finals","0","24.07.2015 12:10","Bellucci T.",62,1,"1.4",3,3,0.51,6,5,25,39,7,28,41,19,25,36,25,25,26,30,"clay "
"Bastad (Sweden), clay - Quarter-finals","0","24.07.2015 15:00","Mathieu P.",69,0,"2.5",2,0,0.58,5,1,37,42,28,28,18,1,33,24,22,38,1,20,"clay "
"Bastad (Sweden), clay - Quarter-finals","1","24.07.2015 16:40","Paire B.",34,2,"2.2",2,1,0.56,9,3,52,46,2,33,31,55,43,31,33,2,26,54,"clay "
"Bastad (Sweden), clay - Quarter-finals","1","24.07.2015 18:00","Cuevas P.",20,2,"1.28",1,2,0.64,5,4,32,55,31,42,43,48,36,43,33,49,42,50,"clay "
"Bastad (Sweden), clay - Semi-finals","0","16.07.2016 14:10","Ferrer D.",13,0,"1.44",7,10,0.69,8,4,26,19,20,32,54,43,20,37,23,21,28,28,"clay "
"Bastad (Sweden), clay - Semi-finals","1","16.07.2016 19:30","Verdasco F.",47,2,"1.16",2,0,0.78,10,5,48,57,23,53,52,48,48,53,43,59,52,60,"clay "
"Bastad (Sweden), clay - Semi-finals","0","25.07.2015 15:55","Zverev A.",29,0,"2.75",1,2,0.68,5,2,32,37,23,22,35,11,30,30,23,28,13,24,"clay "
"Bastad (Sweden), clay - Semi-finals","1","25.07.2015 17:35","Paire B.",34,2,"3",4,2,0.51,6,7,34,48,15,53,36,42,33,46,34,41,46,50,"clay "
"Bastad (Sweden), clay - Semi-finals","0","12.07.2014 14:15","Verdasco F.",47,0,"1.44",5,4,0.6,5,1,42,42,55,9,31,1,36,23,23,61,1,30,"clay "
"Bastad (Sweden), clay - Semi-finals","0","12.07.2014 16:20","Berlocq C.",75,1,"1.33",2,9,0.77,7,3,34,13,42,27,61,26,29,35,27,38,22,35,"clay "
"Beijing (China), hard - Final","1","11.10.2015 14:45","Djokovic N.",1,2,"1.1",7,0,0.82,7,5,41,40,2,39,50,58,40,43,36,2,42,60,"hard "
"Beijing (China), hard - Final","1","05.10.2014 14:40","Djokovic N.",1,2,"1.14",4,1,0.71,16,11,40,52,23,50,55,55,40,57,43,57,65,70,"hard "
"Beijing (China), hard - Final","1","06.10.2013 11:10","Djokovic N.",1,2,"1.72",5,1,0.72,7,3,62,67,1,14,50,38,60,29,35,2,15,50,"hard "
